ID,Gender,Race,Age_at_Release,Gang_Affiliated,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Percent_Days_Employed,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3
6451,M,BLACK,33-37,0,High School Diploma,3+,Drug,1-2 years,6,6+,1,1,4,2,0,0,3+,2,0,1,2+,1,0,0,0.17419885,0,0,0,0,0
6452,M,BLACK,48 or older,0,< HS Diploma,1,Property,3+ years,10+,6+,0,5+,0,5+,0,0,3+,3,0,3+,0,1,0,0,0.0,1,1,1,0,0
6453,M,BLACK,38-42,0,Some College,1,Drug,<1 year,3,1,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0.810344828,0,0,0,0,0
6454,M,WHITE,38-42,0,High School Diploma,1,Property,3+ years,4,3,2,1,2,2,1,1,1,2,1,1,1,1,1,0,0.802809834,0,0,0,0,0
6455,M,BLACK,28-32,0,< HS Diploma,3+,Violent/Non-Sex,3+ years,9,5,3+,5+,1,3,1,0,3+,3,1,3+,0,1,1,0,0.887262079,0,1,0,0,1
6456,M,BLACK,28-32,1,< HS Diploma,0,Other,1-2 years,10+,4,1,0,3,5+,1,1,2,3,1,0,2+,0,1,0,0.0,0,1,0,1,0
6457,M,WHITE,48 or older,0,< HS Diploma,2,Drug,<1 year,3,6+,1,0,3,5+,0,0,2,4+,0,0,2+,1,0,0,0.560102302,0,1,1,0,0
6458,M,WHITE,28-32,0,High School Diploma,3+,Property,<1 year,4,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0.757105943,0,0,0,0,0
6459,M,BLACK,28-32,1,< HS Diploma,3+,Drug,3+ years,7,5,1,0,4,1,0,1,1,3,0,0,2+,0,0,0,0.0,1,0,0,0,0
6460,M,BLACK,28-32,0,< HS Diploma,3+,Drug,1-2 years,9,6+,2,0,5+,5+,0,0,3+,4+,0,0,2+,1,0,0,0.72077185,0,0,0,0,0
6461,F,WHITE,28-32,0,Some College,1,Property,3+ years,10+,2,1,5+,3,3,0,0,3+,1,0,3+,1,1,0,0,0.987654321,0,1,0,1,0
6462,M,BLACK,48 or older,0,Some College,3+,Unknown,3+ years,10+,6+,3+,5+,5+,2,0,0,3+,1,1,1,2+,1,0,0,0.068248023,1,1,0,1,0
6463,M,BLACK,33-37,1,High School Diploma,2,Drug,3+ years,10+,6+,3+,1,3,5+,1,0,3+,3,1,1,2+,0,1,0,0.0,1,1,1,0,0
6464,M,BLACK,23-27,0,High School Diploma,0,Property,3+ years,9,1,1,5+,1,0,0,1,2,0,1,3+,0,0,0,1,0.661157025,0,0,0,0,0
6465,M,BLACK,28-32,0,< HS Diploma,0,Other,1-2 years,10+,6+,3+,1,4,5+,1,0,3+,4+,1,2,2+,1,0,0,0.0,0,1,1,0,0
6466,M,WHITE,48 or older,0,< HS Diploma,2,Drug,<1 year,5,3,0,1,5+,0,0,0,1,0,0,0,1,0,0,0,0.0,0,1,0,1,0
6467,M,WHITE,43-47,0,< HS Diploma,1,Unknown,3+ years,5,3,2,1,2,0,0,0,1,1,0,0,1,0,0,0,0.132464256,0,1,0,1,0
6468,M,BLACK,43-47,0,High School Diploma,0,Drug,<1 year,9,6+,3+,3,4,4,0,0,3+,2,1,0,2+,1,0,0,1.0,0,0,0,0,0
6469,M,WHITE,28-32,0,< HS Diploma,1,Property,3+ years,4,3,0,2,1,4,0,0,0,4+,0,2,0,1,0,0,0.542521994,0,0,0,0,0
6470,M,BLACK,33-37,0,High School Diploma,0,Drug,3+ years,3,3,0,0,2,2,0,1,2,1,0,0,2+,1,0,0,0.0,0,0,0,0,0
6471,M,BLACK,28-32,0,< HS Diploma,0,Unknown,1-2 years,10+,6+,3+,4,5+,1,1,1,1,2,1,0,2+,0,0,1,0.0,0,1,0,0,1
6472,M,BLACK,43-47,0,Some College,3+,Property,<1 year,2,3,1,1,0,2,0,0,0,1,1,1,0,0,1,0,1.0,0,0,0,0,0
6473,F,BLACK,48 or older,0,High School Diploma,2,Other,<1 year,10+,6+,1,4,4,5+,0,1,3+,3,0,2,2+,1,0,0,1.0,1,1,1,0,0
6474,M,BLACK,33-37,0,< HS Diploma,0,Drug,3+ years,9,3,0,0,5+,5+,1,0,3+,0,0,0,2+,1,1,0,0.375545852,1,1,0,1,0
6475,M,WHITE,28-32,0,< HS Diploma,0,Property,1-2 years,10+,6+,0,5+,1,5+,0,0,3+,4+,0,3+,1,1,0,0,0.238562092,0,1,1,0,0
6476,M,WHITE,28-32,1,High School Diploma,0,Unknown,<1 year,10+,6+,0,5+,3,5+,0,0,3+,2,0,3+,2+,1,0,0,0.0,0,1,0,1,0
6477,F,BLACK,28-32,0,High School Diploma,0,Property,<1 year,5,1,0,0,3,4,0,1,0,1,0,0,2+,0,0,0,0.082101806,0,0,0,0,0
6478,M,BLACK,28-32,0,High School Diploma,3+,Property,<1 year,8,2,2,5+,0,2,0,0,2,1,0,3+,0,0,0,0,0.0,0,1,1,0,0
6479,M,BLACK,28-32,1,High School Diploma,3+,Drug,3+ years,7,6+,3+,1,3,0,1,1,1,4+,1,0,1,0,0,0,0.690773067,1,0,0,0,0
6480,M,BLACK,28-32,0,High School Diploma,0,Unknown,3+ years,10+,3,0,4,5+,3,0,1,2,2,0,1,2+,0,0,1,0.732782369,0,1,1,0,0
6481,M,BLACK,28-32,1,High School Diploma,1,Other,1-2 years,10+,6+,1,4,0,5+,0,1,3+,3,0,3+,0,0,0,0,0.461934156,0,1,0,1,0
6482,M,BLACK,28-32,0,< HS Diploma,0,Property,1-2 years,3,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0.642023346,1,0,0,0,0
6483,M,BLACK,33-37,0,< HS Diploma,0,Other,<1 year,10+,5,1,0,5+,5+,0,1,2,1,0,0,2+,0,0,0,1.0,0,1,1,0,0
6484,M,BLACK,48 or older,0,High School Diploma,1,Property,<1 year,10+,6+,3+,5+,2,5+,0,1,3+,4+,1,3+,1,0,0,0,0.0,0,1,0,0,1
6485,M,WHITE,28-32,0,High School Diploma,3+,Property,1-2 years,7,2,2,2,1,1,1,0,2,1,0,3+,0,0,0,0,0.854447439,0,0,0,0,0
6486,M,BLACK,48 or older,0,< HS Diploma,0,Drug,3+ years,5,4,3+,2,2,0,0,0,3+,1,1,2,2+,0,0,0,0.183580388,1,1,0,0,1
6487,M,BLACK,28-32,0,< HS Diploma,3+,Violent/Non-Sex,3+ years,6,6+,3+,3,1,4,1,0,2,3,1,2,0,0,1,0,1.0,0,1,0,1,0
6488,M,WHITE,38-42,0,Some College,0,Property,1-2 years,6,4,0,3,1,4,0,1,1,0,0,1,0,0,0,0,0.128157156,1,1,1,0,0
6489,M,WHITE,33-37,1,High School Diploma,2,Drug,<1 year,8,6+,2,1,5+,3,0,0,2,4+,1,0,2+,0,0,0,0.993993994,0,1,0,1,0
6490,M,WHITE,38-42,1,Some College,3+,Drug,1-2 years,3,6+,0,0,4,2,0,1,1,4+,0,0,2+,1,0,1,0.754748142,0,0,0,0,0
6492,M,BLACK,38-42,0,High School Diploma,3+,Property,1-2 years,10+,5,3+,5+,5+,5+,0,1,3+,4+,1,3+,2+,1,0,1,0.0,0,1,0,1,0
6493,M,BLACK,33-37,0,High School Diploma,1,Violent/Non-Sex,3+ years,4,3,1,1,1,0,1,1,1,2,1,1,0,0,0,1,0.083909636,0,1,1,0,0
6494,M,BLACK,33-37,0,High School Diploma,3+,Property,3+ years,4,6+,0,3,1,3,0,0,2,4+,0,2,2+,1,0,0,0.0,0,1,0,1,0
6495,M,BLACK,38-42,0,< HS Diploma,3+,Property,3+ years,9,6+,3+,3,5+,1,0,1,0,4+,0,2,2+,0,0,1,0.63312369,0,1,1,0,0
6496,M,WHITE,43-47,0,< HS Diploma,0,Property,1-2 years,10+,6+,1,5+,4,5+,0,0,3+,4+,1,3+,1,0,0,0,0.393859649,0,0,0,0,0
6497,F,WHITE,48 or older,0,High School Diploma,2,Drug,1-2 years,7,6+,1,3,4,5+,0,0,3+,4+,0,2,2+,1,0,0,0.0,1,1,1,0,0
6498,M,BLACK,28-32,0,High School Diploma,0,Other,1-2 years,10+,6+,0,5+,0,5+,0,1,0,3,0,2,0,0,0,1,0.118902439,0,1,0,0,1
6499,M,BLACK,33-37,1,High School Diploma,3+,Violent/Non-Sex,1-2 years,9,5,3+,2,2,0,1,1,0,1,1,0,0,0,0,1,0.08503937,0,1,1,0,0
6500,M,BLACK,28-32,0,< HS Diploma,2,Drug,3+ years,7,3,1,1,3,2,1,0,2,2,1,0,2+,0,1,0,0.481840194,0,0,0,0,0
6502,M,BLACK,28-32,1,< HS Diploma,3+,Other,1-2 years,10+,6+,1,2,5+,5+,0,1,2,4+,0,1,2+,1,0,1,0.0,0,1,0,0,1
6503,M,WHITE,28-32,0,High School Diploma,0,Property,3+ years,7,4,3+,0,1,3,1,1,0,3,1,0,0,1,0,0,0.760245902,0,1,0,1,0
6504,M,WHITE,28-32,0,High School Diploma,1,Property,1-2 years,6,6+,1,2,4,3,0,1,3+,4+,1,2,2+,1,0,1,1.0,0,1,0,1,0
6505,M,BLACK,28-32,0,High School Diploma,1,Other,<1 year,10+,6+,1,1,5+,5+,0,1,3+,4+,0,1,2+,0,0,1,0.861575179,0,0,0,0,0
6506,F,WHITE,28-32,0,High School Diploma,0,Property,<1 year,9,6+,2,5+,4,5+,1,0,1,4+,0,3+,2+,1,0,0,1.0,1,1,1,0,0
6507,M,BLACK,33-37,1,High School Diploma,3+,Other,1-2 years,7,4,0,0,5+,3,0,1,2,2,0,0,2+,1,0,1,0.999300699,0,0,0,0,0
6508,M,BLACK,43-47,1,Some College,3+,Violent/Non-Sex,3+ years,7,2,2,3,1,0,0,0,2,1,1,1,0,0,0,0,0.250957854,0,1,1,0,0
6509,M,BLACK,38-42,0,High School Diploma,1,Violent/Non-Sex,3+ years,7,6+,3+,5+,0,4,0,0,3+,4+,0,3+,0,1,0,0,1.0,0,0,0,0,0
6510,M,WHITE,28-32,0,High School Diploma,1,Property,3+ years,4,1,1,1,2,2,0,0,2,2,1,1,1,0,0,0,0.899728997,0,1,0,0,1
6511,M,BLACK,33-37,0,< HS Diploma,3+,Drug,3+ years,9,6+,3+,5+,5+,5+,1,1,2,4+,1,2,1,1,0,0,0.0,1,1,0,1,0
6512,M,WHITE,28-32,1,High School Diploma,3+,Other,1-2 years,5,6+,2,2,2,5+,1,1,3+,3,1,1,1,1,1,1,0.829181495,0,1,1,0,0
6513,M,WHITE,48 or older,0,High School Diploma,1,Drug,<1 year,10+,6+,3+,5+,5+,1,1,1,3+,2,0,1,2+,0,0,0,0.0,1,0,0,0,0
6514,M,WHITE,38-42,0,< HS Diploma,1,Violent/Non-Sex,3+ years,6,6+,3+,2,1,5+,1,0,1,4+,1,2,0,1,0,0,0.0,0,1,1,0,0
6515,F,WHITE,38-42,0,Some College,2,Property,3+ years,10+,3,1,5+,0,4,0,0,3+,1,1,3+,0,0,0,0,1.0,0,0,0,0,0
6516,M,WHITE,28-32,0,< HS Diploma,3+,Drug,<1 year,4,3,1,1,2,3,0,1,3+,1,0,1,1,1,0,0,0.628242075,0,1,1,0,0
6517,M,BLACK,33-37,0,< HS Diploma,3+,Unknown,3+ years,8,4,0,2,3,5+,0,1,1,1,0,0,2+,0,0,1,0.087989724,0,0,0,0,0
6518,M,WHITE,28-32,0,High School Diploma,0,Property,1-2 years,8,6+,0,5+,0,3,0,0,2,1,0,3+,0,0,0,0,0.038709677,0,1,1,0,0
6519,M,WHITE,33-37,0,High School Diploma,3+,Violent/Non-Sex,3+ years,3,1,1,1,2,0,0,1,2,1,1,0,2+,0,0,0,0.959808038,0,0,0,0,0
6520,M,WHITE,28-32,0,High School Diploma,0,Violent/Non-Sex,3+ years,10+,3,2,5+,2,2,0,1,1,1,1,3+,2+,0,0,1,0.3375,0,1,0,1,0
6521,M,BLACK,23-27,0,< HS Diploma,1,Violent/Non-Sex,3+ years,3,0,1,1,1,0,0,1,1,2,1,1,1,1,0,1,1.0,0,0,0,0,0
6522,M,WHITE,38-42,0,< HS Diploma,2,Property,3+ years,10+,6+,2,5+,3,5+,1,1,2,3,1,3+,1,0,0,0,0.0,0,1,0,1,0
6523,M,BLACK,28-32,0,< HS Diploma,2,Property,<1 year,10+,3,3+,5+,1,3,0,0,3+,0,0,2,2+,0,0,0,0.272189349,0,1,1,0,0
6524,M,WHITE,38-42,0,Some College,2,Unknown,1-2 years,10+,6+,2,5+,5+,5+,0,0,3+,4+,1,3+,2+,1,0,0,1.0,0,0,0,0,0
6525,M,WHITE,33-37,1,High School Diploma,2,Other,3+ years,7,4,1,4,2,4,0,1,1,1,0,1,1,1,0,1,1.0,0,0,0,0,0
6526,M,BLACK,28-32,0,High School Diploma,0,Drug,<1 year,4,2,0,2,1,0,0,0,1,3,0,2,0,0,0,0,0.044041451,0,1,1,0,0
6527,F,BLACK,28-32,0,Some College,0,Violent/Non-Sex,3+ years,1,4,1,1,2,0,0,0,1,2,1,0,1,0,0,0,0.038863976,0,1,1,0,0
6528,M,BLACK,33-37,0,Some College,3+,Violent/Non-Sex,3+ years,2,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0.976129582,0,0,0,0,0
6529,M,BLACK,28-32,0,< HS Diploma,0,Drug,3+ years,5,0,0,0,4,1,0,0,2,2,0,0,2+,0,0,0,0.0,0,1,0,1,0
6530,M,WHITE,43-47,0,High School Diploma,0,Other,<1 year,5,5,0,2,3,4,0,0,3+,3,0,1,2+,1,0,0,0.990082645,0,1,0,1,0
6531,M,BLACK,28-32,0,High School Diploma,1,Drug,3+ years,10+,4,1,1,5+,1,0,1,3+,1,0,0,2+,1,0,1,1.0,0,1,0,1,0
6532,M,BLACK,33-37,0,< HS Diploma,2,Unknown,1-2 years,4,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0.0,0,1,0,0,1
6533,M,WHITE,38-42,1,High School Diploma,3+,Unknown,3+ years,10+,6+,2,5+,5+,5+,1,0,3+,4+,0,3+,2+,1,0,0,0.0,0,1,1,0,0
6534,M,BLACK,38-42,0,High School Diploma,3+,Other,1-2 years,5,6+,1,2,1,4,1,0,1,4+,0,0,0,0,0,0,1.0,0,0,0,0,0
6535,M,BLACK,28-32,0,< HS Diploma,2,Drug,1-2 years,5,6+,2,2,3,3,1,1,0,2,0,1,2+,0,0,0,0.331929825,0,1,0,1,0
6536,M,BLACK,43-47,0,High School Diploma,1,Property,3+ years,10+,3,1,5+,1,5+,0,0,3+,3,0,3+,0,1,0,0,0.0,0,1,1,0,0
6537,F,WHITE,38-42,0,High School Diploma,2,Property,3+ years,10+,5,0,5+,2,4,0,0,3+,1,0,3+,1,1,0,0,0.746331237,0,1,0,1,0
6538,M,BLACK,28-32,1,< HS Diploma,3+,Violent/Non-Sex,3+ years,3,3,2,0,1,3,1,0,2,0,1,0,0,0,0,0,0.679694138,0,0,0,0,0
6539,M,BLACK,48 or older,0,< HS Diploma,3+,Violent/Non-Sex,3+ years,10+,4,3+,2,0,1,0,0,3+,2,1,2,0,0,0,0,0.0,1,0,0,0,0
6540,M,WHITE,28-32,0,High School Diploma,0,Drug,1-2 years,10+,2,1,3,2,5+,0,1,3+,3,0,1,2+,1,0,1,0.0,0,1,1,0,0
6541,M,BLACK,33-37,1,Some College,3+,Violent/Non-Sex,3+ years,1,2,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0.409090909,0,0,0,0,0
6542,M,BLACK,23-27,0,< HS Diploma,2,Drug,1-2 years,9,3,0,0,5+,3,0,1,3+,1,0,0,2+,0,0,0,0.0,0,1,1,0,0
6543,M,WHITE,28-32,0,High School Diploma,0,Property,3+ years,10+,2,0,5+,2,0,0,0,0,1,0,1,0,0,0,0,0.075212557,0,0,0,0,0
6544,M,BLACK,33-37,1,< HS Diploma,2,Property,3+ years,6,3,1,2,0,5+,0,0,0,1,0,0,0,0,0,0,0.221327968,0,1,0,0,1
6545,M,BLACK,28-32,0,< HS Diploma,1,Violent/Non-Sex,3+ years,8,3,3+,3,2,5+,1,1,3+,4+,1,0,2+,1,1,0,0.442196532,0,1,1,0,0
6546,M,WHITE,28-32,0,< HS Diploma,1,Property,<1 year,10+,6+,1,5+,2,5+,0,0,3+,4+,1,3+,1,0,1,0,0.0,0,0,0,0,0
6547,F,BLACK,33-37,0,High School Diploma,1,Property,1-2 years,9,6+,0,5+,3,5+,0,0,3+,4+,0,3+,2+,1,0,0,1.0,0,0,0,0,0
6548,M,BLACK,28-32,1,High School Diploma,1,Drug,1-2 years,6,5,3+,2,1,5+,1,1,0,2,1,0,1,1,1,1,0.0,0,1,1,0,0
6549,M,WHITE,28-32,0,< HS Diploma,1,Drug,<1 year,10+,6+,1,5+,1,3,0,0,2,4+,0,3+,0,0,0,0,0.565828402,1,0,0,0,0
6550,M,WHITE,33-37,0,Some College,0,Violent/Sex,3+ years,6,3,2,0,1,3,0,1,1,2,0,0,0,1,0,1,0.9,0,1,1,0,0
6551,M,BLACK,38-42,0,< HS Diploma,3+,Violent/Non-Sex,<1 year,6,6+,3+,2,2,0,0,1,0,2,1,0,2+,0,0,1,0.0,0,0,0,0,0
6552,F,WHITE,48 or older,0,< HS Diploma,0,Other,<1 year,8,2,0,1,5+,1,0,0,1,0,0,0,2+,0,0,0,0.0,0,0,0,0,0
6553,M,WHITE,33-37,1,Some College,1,Property,<1 year,6,3,0,2,0,3,0,0,0,4+,0,1,0,0,0,0,0.418224299,0,1,0,1,0
6554,M,WHITE,33-37,1,< HS Diploma,0,Other,<1 year,5,5,0,1,2,5+,0,1,2,4+,0,1,2+,1,0,1,0.0,0,1,0,1,0
6555,M,BLACK,33-37,1,< HS Diploma,3+,Unknown,<1 year,7,6+,0,0,3,5+,0,0,1,4+,0,0,2+,1,0,0,0.0,0,0,0,0,0
6556,M,BLACK,48 or older,0,< HS Diploma,3+,Unknown,3+ years,10+,6+,0,4,5+,5+,0,1,3+,4+,0,2,2+,1,0,0,0.0,1,0,0,0,0
6557,M,WHITE,28-32,0,High School Diploma,2,Property,3+ years,9,6+,1,5+,0,5+,0,0,2,4+,0,3+,0,1,0,0,1.0,0,1,1,0,0
6558,M,BLACK,33-37,0,High School Diploma,3+,Other,3+ years,6,4,0,1,5+,4,1,1,1,4+,1,0,2+,1,1,0,1.0,0,0,0,0,0
6559,M,BLACK,48 or older,0,Some College,3+,Property,3+ years,10+,6+,2,5+,2,3,0,0,3+,2,1,3+,1,1,0,0,0.0,0,0,0,0,0
6561,F,WHITE,43-47,0,< HS Diploma,1,Property,1-2 years,10+,6+,0,5+,1,5+,0,0,3+,4+,0,3+,0,1,0,0,0.590759076,0,0,0,0,0
6562,M,BLACK,43-47,0,High School Diploma,2,Violent/Non-Sex,3+ years,2,1,2,0,0,1,0,0,0,2,1,0,0,1,0,1,0.062046737,0,0,0,0,0
6563,M,BLACK,28-32,0,< HS Diploma,1,Violent/Non-Sex,1-2 years,6,2,3+,0,0,4,0,1,1,0,0,0,0,0,0,0,0.142980936,0,0,0,0,0
6564,M,BLACK,28-32,0,< HS Diploma,3+,Drug,<1 year,6,6+,0,3,4,5+,0,0,1,2,0,0,2+,1,0,0,0.0,0,1,0,0,1
6565,M,WHITE,38-42,0,Some College,2,Drug,1-2 years,9,6+,0,4,4,5+,0,0,2,3,0,1,2+,1,0,0,0.800970874,0,1,0,1,0
6566,M,BLACK,23-27,1,High School Diploma,2,Other,1-2 years,7,6+,0,4,2,5+,0,0,3+,4+,0,2,2+,1,0,0,0.0,0,1,0,1,0
6567,M,WHITE,28-32,1,High School Diploma,2,Other,<1 year,9,3,1,4,0,3,0,0,3+,0,0,2,0,0,0,0,0.999165275,0,0,0,0,0
6568,M,WHITE,38-42,0,Some College,2,Violent/Sex,1-2 years,7,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,1.0,0,0,0,0,0
6569,F,WHITE,28-32,0,High School Diploma,3+,Property,3+ years,8,1,0,5+,1,1,0,0,3+,0,0,3+,1,0,0,0,0.497159091,0,1,0,0,1
6570,M,BLACK,33-37,0,High School Diploma,3+,Violent/Non-Sex,3+ years,7,6+,3+,0,4,4,0,0,3+,3,0,0,2+,1,0,0,0.0,0,1,0,1,0
6571,M,WHITE,33-37,0,Some College,0,Property,<1 year,2,2,0,1,0,3,0,0,1,2,0,3+,0,1,0,0,0.929577465,0,0,0,0,0
6572,M,WHITE,43-47,0,< HS Diploma,3+,Drug,<1 year,10+,6+,0,0,5+,5+,0,0,2,4+,0,1,2+,1,0,0,0.272727273,0,0,0,0,0
6573,M,WHITE,28-32,1,< HS Diploma,1,Other,<1 year,7,6+,2,5+,2,5+,0,1,0,4+,0,3+,2+,1,0,1,1.0,1,0,0,0,0
6574,F,WHITE,38-42,0,High School Diploma,1,Other,1-2 years,7,6+,0,5+,1,5+,0,0,3+,4+,0,3+,0,1,0,0,0.9,1,0,0,0,0
6575,M,WHITE,48 or older,0,Some College,2,Drug,1-2 years,4,2,0,0,4,1,0,1,1,0,0,0,2+,0,0,1,0.0,1,0,0,0,0
6576,M,WHITE,28-32,0,High School Diploma,3+,Violent/Non-Sex,3+ years,3,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0.0,1,1,0,1,0
6577,M,BLACK,33-37,0,< HS Diploma,3+,Drug,<1 year,5,6+,0,1,4,3,0,0,3+,4+,0,1,2+,1,0,0,1.0,0,0,0,0,0
6579,M,WHITE,28-32,0,< HS Diploma,1,Property,1-2 years,6,2,0,1,2,5+,0,0,3+,3,0,1,2+,1,0,0,0.041524847,0,0,0,0,0
6580,M,BLACK,43-47,0,High School Diploma,1,Property,1-2 years,10+,6+,1,5+,5+,5+,0,1,3+,4+,0,3+,2+,1,0,0,0.966981132,0,1,0,1,0
6581,M,WHITE,28-32,0,High School Diploma,0,Other,<1 year,9,6+,0,1,5+,5+,0,0,2,4+,0,0,2+,1,0,0,0.0,0,0,0,0,0
6582,M,BLACK,28-32,0,High School Diploma,0,Unknown,<1 year,10+,6+,1,2,2,5+,0,1,1,3,0,1,0,0,0,0,0.0,0,1,1,0,0
6583,M,WHITE,28-32,0,High School Diploma,0,Property,3+ years,10+,5,0,5+,5+,3,0,0,3+,4+,0,3+,2+,1,0,0,0.0,0,0,0,0,0
6585,M,BLACK,28-32,0,High School Diploma,2,Violent/Non-Sex,3+ years,7,0,1,1,3,3,0,1,1,1,0,0,1,0,0,0,1.0,0,1,1,0,0
6586,M,WHITE,38-42,0,< HS Diploma,0,Unknown,3+ years,8,6+,1,0,5+,5+,0,1,3+,0,0,1,2+,0,0,0,1.0,0,0,0,0,0
6587,M,WHITE,48 or older,0,High School Diploma,2,Property,1-2 years,10+,6+,1,5+,1,1,0,0,2,2,1,3+,0,0,0,0,0.559808612,0,1,1,0,0
6588,F,BLACK,43-47,0,High School Diploma,3+,Drug,1-2 years,10+,3,0,2,1,5+,0,0,3+,3,0,1,1,1,0,0,0.308949416,0,0,0,0,0
6589,M,WHITE,28-32,0,< HS Diploma,3+,Violent/Non-Sex,3+ years,7,4,3+,2,2,2,0,0,3+,3,1,2,2+,1,0,0,0.603053435,0,1,1,0,0
6590,F,WHITE,48 or older,0,High School Diploma,2,Violent/Non-Sex,1-2 years,4,2,1,2,0,1,0,1,2,0,1,0,1,0,0,0,0.904977376,1,0,0,0,0
6591,M,BLACK,43-47,0,Some College,3+,Violent/Sex,3+ years,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0
6592,M,BLACK,28-32,1,High School Diploma,0,Violent/Non-Sex,3+ years,9,2,3+,0,2,1,0,1,1,1,1,0,0,0,0,1,0.95154185,0,1,1,0,0
6593,M,BLACK,33-37,0,< HS Diploma,0,Property,1-2 years,4,4,0,5+,0,2,0,0,2,4+,0,3+,0,1,0,0,1.0,1,1,0,1,0
6594,F,WHITE,33-37,0,< HS Diploma,0,Drug,1-2 years,5,5,0,2,3,4,0,0,1,2,0,1,1,0,0,0,1.0,0,0,0,0,0
6595,M,BLACK,38-42,0,High School Diploma,2,Violent/Non-Sex,3+ years,3,1,2,1,0,1,0,1,2,0,0,0,0,0,1,0,0.0,0,0,0,0,0
6596,M,BLACK,33-37,0,< HS Diploma,1,Unknown,<1 year,6,6+,1,2,5+,5+,1,0,2,4+,0,1,2+,1,0,0,0.0,0,1,1,0,0
6597,M,BLACK,33-37,0,< HS Diploma,1,Unknown,<1 year,7,1,0,0,5+,3,0,0,2,3,0,0,2+,1,0,0,1.0,0,0,0,0,0
6598,M,BLACK,33-37,1,High School Diploma,2,Violent/Sex,3+ years,5,6+,3+,2,1,5+,0,0,2,3,1,2,0,1,0,0,0.0,0,1,0,1,0
6599,M,BLACK,33-37,0,< HS Diploma,3+,Drug,3+ years,10+,6+,3+,3,5+,5+,0,1,1,3,0,0,2+,1,0,0,0.0,0,1,1,0,0
6600,M,BLACK,28-32,0,High School Diploma,3+,Property,1-2 years,6,6+,0,5+,1,5+,0,1,3+,3,0,3+,1,0,0,1,0.941048035,1,1,0,1,0
6601,F,WHITE,33-37,0,High School Diploma,3+,Drug,<1 year,10+,6+,1,5+,2,5+,0,0,3+,4+,0,3+,1,0,0,0,0.0,0,1,1,0,0
6602,M,WHITE,33-37,1,< HS Diploma,0,Property,3+ years,6,5,1,4,1,2,0,0,2,2,1,3+,0,1,0,0,0.0,0,1,1,0,0
6603,M,WHITE,33-37,0,High School Diploma,1,Other,1-2 years,8,3,0,4,3,3,0,1,3+,4+,0,3+,2+,1,0,1,1.0,0,0,0,0,0
6604,M,WHITE,38-42,0,< HS Diploma,1,Property,1-2 years,10+,6+,3+,4,4,2,1,0,1,3,1,3+,2+,0,0,0,0.0,0,1,0,1,0
6605,M,BLACK,28-32,0,< HS Diploma,0,Property,1-2 years,7,5,1,2,3,5+,0,0,2,4+,0,1,1,1,0,0,0.265251989,1,1,1,0,0
6606,M,BLACK,28-32,0,High School Diploma,0,Property,3+ years,4,4,0,4,1,1,0,1,1,1,0,3+,0,0,0,0,0.895348837,0,0,0,0,0
6607,M,WHITE,28-32,1,High School Diploma,0,Drug,1-2 years,10+,6+,2,3,3,5+,1,0,3+,2,1,2,2+,1,0,0,0.0,0,1,1,0,0
6608,F,WHITE,48 or older,0,Some College,0,Unknown,1-2 years,9,2,1,5+,0,1,0,0,2,2,1,2,0,0,0,0,1.0,0,0,0,0,0
6609,M,WHITE,28-32,0,High School Diploma,1,Unknown,1-2 years,9,6+,0,3,4,5+,0,0,3+,2,0,1,2+,0,0,0,0.345679012,0,1,1,0,0
6610,M,BLACK,33-37,0,High School Diploma,3+,Violent/Sex,3+ years,5,6+,3+,3,1,3,0,0,2,3,0,2,0,1,0,0,0.868466899,0,0,0,0,0
6612,M,BLACK,43-47,0,< HS Diploma,2,Property,<1 year,10+,6+,3+,5+,3,1,0,0,3+,3,0,3+,2+,1,0,0,0.302521008,0,0,0,0,0
6613,M,BLACK,48 or older,0,High School Diploma,1,Violent/Non-Sex,3+ years,10+,6+,3+,3,4,5+,0,0,3+,2,1,1,2+,1,0,0,0.0,0,1,0,1,0
