ID,Gender,Race,Age_at_Release,Gang_Affiliated,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Recidivism_Within_3years
3144,M,BLACK,43-47,0,< HS Diploma,3+,Drug,1-2 years,10+,0,2,0,5+,3,0,0,3+,0,1,0,2+,1,0,0,1
3145,M,BLACK,43-47,0,< HS Diploma,3+,Drug,3+ years,10+,5,3+,3,2,5+,1,1,2,3,0,2,2+,0,0,0,0
3146,M,BLACK,43-47,0,Some College,3+,Drug,3+ years,10+,6+,3+,5+,5+,5+,0,1,3+,4+,0,2,2+,1,0,0,1
3147,M,BLACK,38-42,0,< HS Diploma,2,Violent/Non-Sex,3+ years,10+,4,0,5+,4,1,0,1,3+,3,1,2,2+,1,0,1,1
3148,M,BLACK,38-42,0,High School Diploma,1,Violent/Non-Sex,1-2 years,10+,6+,3+,5+,0,3,0,0,3+,2,1,3+,0,0,1,0,1
3149,M,WHITE,43-47,0,High School Diploma,0,Other,1-2 years,10+,4,3+,5+,5+,4,0,1,3+,4+,0,3+,2+,0,0,1,1
3150,M,BLACK,48 or older,0,Some College,3+,Violent/Non-Sex,3+ years,3,3,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0
3151,M,BLACK,38-42,0,< HS Diploma,1,Drug,<1 year,10+,6+,3+,5+,4,5+,0,0,3+,4+,1,3+,2+,1,0,0,1
3152,M,BLACK,48 or older,0,High School Diploma,2,Property,<1 year,10+,4,3+,5+,4,1,0,0,3+,0,0,3+,2+,0,0,1,0
3153,M,BLACK,48 or older,0,High School Diploma,0,Violent/Non-Sex,3+ years,3,6+,3+,2,0,0,0,1,1,4+,1,2,0,0,0,1,1
3154,M,WHITE,48 or older,0,Some College,1,Violent/Non-Sex,<1 year,10+,0,2,5+,5+,2,0,0,2,0,1,1,0,0,0,0,1
3155,M,WHITE,48 or older,0,Some College,3+,Property,3+ years,10+,1,3+,5+,2,1,0,1,3+,1,1,3+,1,0,0,0,0
3156,M,WHITE,48 or older,0,< HS Diploma,1,Violent/Non-Sex,3+ years,10+,6+,2,5+,0,4,0,0,3+,4+,1,3+,0,1,0,0,0
3157,M,BLACK,48 or older,0,Some College,3+,Violent/Non-Sex,3+ years,1,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1
3158,M,BLACK,43-47,0,< HS Diploma,0,Violent/Non-Sex,3+ years,10+,3,1,5+,2,3,0,0,3+,1,0,3+,0,0,0,0,1
3159,M,BLACK,38-42,1,Some College,3+,Violent/Non-Sex,3+ years,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
3160,M,BLACK,43-47,0,High School Diploma,2,Property,<1 year,10+,3,0,5+,3,5+,0,1,3+,2,0,1,1,0,0,0,1
3161,M,BLACK,38-42,0,High School Diploma,3+,Violent/Non-Sex,1-2 years,10+,6+,3+,5+,2,5+,1,0,3+,4+,1,1,2+,0,0,0,0
3162,M,BLACK,38-42,0,High School Diploma,1,Violent/Non-Sex,3+ years,4,3,2,2,0,1,0,0,3+,3,1,2,0,0,0,0,0
3163,M,BLACK,43-47,0,High School Diploma,2,Violent/Non-Sex,<1 year,10+,1,1,4,1,5+,0,0,1,0,1,0,0,0,0,0,1
3164,M,BLACK,48 or older,0,High School Diploma,2,Violent/Non-Sex,3+ years,3,0,3+,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3165,M,BLACK,43-47,0,High School Diploma,1,Violent/Non-Sex,1-2 years,8,6+,3+,5+,1,3,1,0,2,4+,1,3+,0,1,1,0,1
3166,M,WHITE,38-42,0,High School Diploma,1,Other,3+ years,10+,6+,1,1,5+,5+,0,1,3+,4+,1,0,2+,1,0,1,1
3167,M,WHITE,43-47,0,High School Diploma,1,Drug,<1 year,1,3,1,1,0,1,1,0,0,3,0,1,0,1,0,0,0
3168,M,BLACK,38-42,1,High School Diploma,3+,Other,3+ years,7,1,2,1,0,1,0,0,1,1,1,0,0,0,0,0,1
3169,M,BLACK,38-42,0,High School Diploma,0,Drug,<1 year,10+,6+,0,1,5+,5+,0,1,2,4+,0,0,1,1,0,0,1
3170,M,WHITE,48 or older,0,< HS Diploma,3+,Other,3+ years,8,6+,2,0,0,3,0,1,3+,4+,0,0,0,1,0,0,0
3171,M,BLACK,48 or older,0,High School Diploma,3+,Property,1-2 years,10+,6+,3+,5+,5+,3,0,1,3+,2,0,3+,0,0,0,0,1
3172,M,WHITE,48 or older,0,High School Diploma,2,Violent/Non-Sex,3+ years,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3173,M,BLACK,38-42,0,Some College,3+,Violent/Non-Sex,3+ years,7,1,1,2,2,3,0,0,3+,0,1,0,2+,0,0,0,0
3174,M,WHITE,38-42,0,< HS Diploma,0,Violent/Non-Sex,3+ years,4,4,1,3,1,3,0,0,0,3,0,1,0,1,0,0,1
3175,M,BLACK,43-47,1,High School Diploma,0,Violent/Non-Sex,3+ years,10+,0,3+,5+,3,3,0,0,3+,1,0,3+,2+,0,0,0,1
3176,M,WHITE,48 or older,0,Some College,3+,Violent/Sex,3+ years,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
3177,M,WHITE,48 or older,0,High School Diploma,3+,Property,<1 year,10+,6+,1,5+,0,5+,0,0,3+,4+,1,3+,0,1,0,0,1
3178,M,WHITE,38-42,0,Some College,3+,Violent/Non-Sex,3+ years,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
3180,M,WHITE,38-42,0,< HS Diploma,3+,Other,1-2 years,4,2,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0
3181,M,BLACK,43-47,0,< HS Diploma,2,Property,1-2 years,5,6+,2,2,3,5+,0,0,3+,4+,1,2,1,1,0,0,0
3182,M,BLACK,38-42,0,Some College,3+,Violent/Non-Sex,3+ years,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3183,M,BLACK,38-42,1,High School Diploma,0,Property,1-2 years,10+,3,0,5+,0,5+,0,1,3+,3,0,3+,0,1,0,1,1
3184,M,WHITE,38-42,0,High School Diploma,0,Property,1-2 years,7,3,0,4,1,3,0,0,0,4+,0,2,0,1,0,0,1
3185,M,BLACK,38-42,0,High School Diploma,3+,Unknown,1-2 years,10+,5,2,1,4,4,0,0,2,3,0,0,2+,0,0,0,1
3186,M,BLACK,38-42,0,< HS Diploma,3+,Other,3+ years,8,4,0,0,5+,1,1,1,3+,1,0,0,1,1,1,1,1
3187,M,WHITE,43-47,0,High School Diploma,0,Property,3+ years,10+,6+,0,5+,0,5+,0,0,3+,4+,0,3+,0,1,0,0,0
3188,F,BLACK,43-47,0,Some College,3+,Violent/Non-Sex,3+ years,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
3190,M,BLACK,43-47,0,Some College,0,Drug,1-2 years,4,3,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0
3191,M,BLACK,43-47,0,Some College,1,Drug,3+ years,10+,6+,1,5+,5+,5+,0,0,3+,4+,0,3+,2+,1,0,0,1
3192,M,BLACK,38-42,0,< HS Diploma,2,Unknown,<1 year,9,0,1,2,4,3,0,1,3+,0,0,2,2+,0,0,1,1
3193,M,WHITE,38-42,0,Some College,3+,Violent/Non-Sex,3+ years,9,1,3+,5+,0,2,0,1,3+,2,1,3+,0,0,0,1,0
3194,M,BLACK,38-42,0,< HS Diploma,3+,Other,1-2 years,3,3,3+,0,0,1,0,0,0,1,1,0,0,0,0,0,0
3195,M,BLACK,38-42,0,Some College,3+,Drug,<1 year,10+,6+,3+,2,5+,5+,1,1,3+,4+,1,1,1,1,1,0,1
3196,F,BLACK,43-47,0,< HS Diploma,2,Property,1-2 years,8,4,2,4,1,2,0,0,3+,2,0,3+,1,0,0,0,1
3197,M,BLACK,38-42,0,High School Diploma,1,Unknown,3+ years,8,6+,1,0,5+,4,0,1,3+,1,0,0,2+,0,0,0,1
3198,M,BLACK,48 or older,0,Some College,2,Property,1-2 years,10+,2,0,5+,1,1,0,0,3+,2,0,3+,0,1,0,0,1
3199,M,BLACK,38-42,0,< HS Diploma,3+,Violent/Non-Sex,3+ years,5,1,2,0,2,1,0,0,3+,2,0,1,2+,1,0,0,1
3200,M,WHITE,38-42,0,High School Diploma,0,Property,3+ years,10+,5,1,5+,2,5+,0,1,3+,4+,1,3+,2+,1,0,0,1
3201,M,WHITE,38-42,1,High School Diploma,0,Property,3+ years,10+,6+,1,5+,5+,5+,0,0,3+,4+,0,3+,2+,1,0,0,1
3202,F,BLACK,43-47,0,High School Diploma,3+,Property,1-2 years,10+,4,0,5+,0,5+,0,0,3+,3,0,3+,0,1,0,0,1
3203,M,BLACK,38-42,0,< HS Diploma,0,Property,3+ years,7,4,2,2,0,5+,0,1,3+,2,1,2,0,1,0,1,1
3204,M,BLACK,38-42,0,High School Diploma,1,Violent/Non-Sex,3+ years,4,1,3+,2,0,1,0,0,2,0,0,2,0,0,0,0,0
3205,M,BLACK,38-42,0,High School Diploma,3+,Violent/Non-Sex,<1 year,10+,1,2,2,3,2,0,1,1,2,1,0,2+,0,0,1,1
3206,M,WHITE,38-42,0,Some College,3+,Property,3+ years,10+,5,1,4,5+,2,1,1,1,2,0,3+,1,0,0,0,0
3207,M,BLACK,43-47,0,< HS Diploma,0,Violent/Non-Sex,3+ years,6,1,3+,1,1,2,0,1,3+,1,1,0,0,1,0,0,0
3208,M,BLACK,38-42,0,High School Diploma,1,Violent/Non-Sex,<1 year,10+,4,3+,0,3,5+,1,1,0,0,0,0,0,0,0,0,1
3210,M,WHITE,38-42,0,< HS Diploma,3+,Violent/Non-Sex,<1 year,10+,6+,3+,5+,5+,5+,1,0,3+,4+,1,3+,1,1,0,0,0
3211,M,BLACK,38-42,0,Some College,3+,Violent/Non-Sex,3+ years,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3212,M,BLACK,38-42,0,High School Diploma,3+,Violent/Non-Sex,3+ years,8,2,3+,1,0,1,1,1,3+,0,1,1,0,1,0,1,0
3213,M,BLACK,38-42,0,< HS Diploma,3+,Violent/Non-Sex,3+ years,8,6+,3+,0,4,2,1,0,1,2,0,0,1,0,0,0,1
3215,M,BLACK,38-42,0,High School Diploma,2,Unknown,1-2 years,10+,2,0,0,5+,4,0,0,3+,1,0,0,1,1,0,0,1
3216,M,BLACK,38-42,0,High School Diploma,1,Other,3+ years,8,0,3+,1,4,2,0,1,2,0,0,0,2+,0,0,1,0
3217,M,BLACK,48 or older,0,High School Diploma,3+,Violent/Non-Sex,3+ years,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0
3218,M,BLACK,38-42,0,< HS Diploma,1,Other,<1 year,2,4,3+,0,0,2,1,0,1,2,1,0,0,1,0,1,0
3219,M,BLACK,38-42,0,< HS Diploma,3+,Violent/Non-Sex,3+ years,4,6+,3+,0,1,0,0,1,1,2,1,0,1,0,0,1,0
3220,M,BLACK,38-42,0,Some College,3+,Violent/Non-Sex,3+ years,3,1,1,2,0,1,0,0,0,1,1,1,0,1,0,0,0
3221,M,BLACK,38-42,0,Some College,3+,Violent/Non-Sex,3+ years,2,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0
3222,M,BLACK,38-42,0,< HS Diploma,1,Violent/Sex,1-2 years,5,0,0,2,0,2,0,0,2,0,0,1,0,0,0,0,0
3223,M,BLACK,48 or older,0,High School Diploma,0,Property,3+ years,9,1,0,5+,0,4,1,0,1,2,1,3+,0,0,1,0,0
3225,M,BLACK,33-37,0,< HS Diploma,3+,Violent/Non-Sex,3+ years,8,0,2,0,3,3,0,0,2,0,1,1,1,0,0,0,1
3226,M,BLACK,38-42,0,High School Diploma,3+,Violent/Non-Sex,3+ years,2,2,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0
3227,M,BLACK,38-42,0,< HS Diploma,3+,Violent/Non-Sex,3+ years,5,1,2,0,1,0,1,1,3+,2,1,0,1,0,1,1,0
3228,M,BLACK,48 or older,0,High School Diploma,0,Violent/Sex,3+ years,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3229,M,BLACK,38-42,0,High School Diploma,1,Violent/Non-Sex,3+ years,2,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0
3230,M,BLACK,38-42,0,Some College,3+,Drug,<1 year,8,4,2,3,3,3,0,0,1,3,1,0,1,0,0,0,1
3231,M,WHITE,38-42,0,< HS Diploma,3+,Violent/Non-Sex,3+ years,6,1,1,3,0,2,0,0,1,0,1,2,0,0,0,1,0
3232,M,BLACK,33-37,0,< HS Diploma,0,Violent/Non-Sex,3+ years,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3233,F,BLACK,38-42,0,High School Diploma,2,Violent/Non-Sex,3+ years,7,0,1,5+,1,0,0,0,3+,0,1,2,1,0,0,0,0
3234,M,BLACK,38-42,0,High School Diploma,2,Drug,3+ years,10+,6+,0,0,5+,5+,0,0,1,4+,0,0,2+,0,0,0,1
3235,M,BLACK,38-42,1,Some College,3+,Violent/Non-Sex,3+ years,2,0,2,0,0,0,0,1,1,0,1,0,0,0,0,1,0
3236,M,BLACK,33-37,1,< HS Diploma,0,Violent/Non-Sex,3+ years,7,5,3+,3,0,0,0,1,3+,4+,1,2,0,0,0,0,1
3237,M,BLACK,43-47,0,High School Diploma,3+,Drug,<1 year,2,2,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0
3238,M,BLACK,38-42,0,Some College,3+,Violent/Non-Sex,<1 year,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3239,M,BLACK,48 or older,0,Some College,3+,Violent/Non-Sex,3+ years,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3241,M,BLACK,38-42,0,< HS Diploma,0,Violent/Non-Sex,3+ years,4,1,2,0,1,0,0,1,1,1,1,0,1,0,0,1,1
3242,M,BLACK,38-42,0,High School Diploma,0,Violent/Non-Sex,3+ years,4,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1
3243,M,BLACK,38-42,0,High School Diploma,1,Unknown,1-2 years,5,6+,1,0,5+,5+,0,0,3+,4+,0,0,2+,1,0,0,0
3244,M,BLACK,33-37,0,High School Diploma,2,Drug,1-2 years,7,2,0,1,4,2,0,0,3+,2,0,0,2+,0,0,0,1
3245,M,WHITE,48 or older,0,Some College,1,Property,3+ years,4,1,0,3,0,2,0,0,2,1,0,1,0,1,0,0,1
3246,M,BLACK,43-47,0,Some College,3+,Violent/Non-Sex,3+ years,7,2,3+,2,0,1,0,1,3+,1,1,1,0,0,0,1,0
3247,M,WHITE,43-47,0,< HS Diploma,0,Drug,3+ years,10+,6+,0,4,5+,4,0,0,2,4+,0,1,1,1,0,0,1
3248,M,WHITE,43-47,0,Some College,3+,Violent/Non-Sex,3+ years,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3249,M,WHITE,38-42,0,High School Diploma,3+,Property,3+ years,10+,4,1,5+,2,1,0,0,3+,1,0,3+,0,0,0,0,1
3250,M,BLACK,33-37,0,High School Diploma,2,Property,<1 year,10+,6+,2,5+,5+,4,0,1,3+,4+,0,3+,2+,1,0,0,1
3251,M,BLACK,43-47,0,< HS Diploma,1,Property,3+ years,10+,5,1,5+,0,5+,0,0,1,3,0,2,0,1,0,0,1
3252,M,WHITE,43-47,0,High School Diploma,0,Violent/Non-Sex,3+ years,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3253,M,BLACK,38-42,0,High School Diploma,3+,Violent/Non-Sex,1-2 years,10+,6+,3+,1,5+,1,0,1,1,2,1,0,2+,0,0,1,0
3254,M,BLACK,38-42,0,High School Diploma,2,Property,<1 year,10+,6+,1,5+,1,5+,0,0,3+,4+,1,3+,0,1,0,0,1
3255,M,BLACK,38-42,0,High School Diploma,0,Violent/Non-Sex,<1 year,8,3,3+,4,0,3,1,0,0,2,1,2,0,0,1,0,0
3256,M,BLACK,38-42,0,High School Diploma,3+,Violent/Non-Sex,3+ years,8,1,3+,1,2,1,0,1,3+,0,1,0,2+,0,0,0,1
3257,M,BLACK,38-42,0,Some College,3+,Drug,3+ years,10+,6+,3+,5+,4,0,1,0,2,2,0,1,2+,0,0,0,0
3258,M,WHITE,38-42,0,High School Diploma,1,Drug,3+ years,10+,2,0,5+,2,4,0,0,3+,2,0,3+,2+,1,0,0,1
3259,M,WHITE,43-47,0,< HS Diploma,2,Violent/Sex,3+ years,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3260,M,BLACK,33-37,1,Some College,3+,Violent/Non-Sex,3+ years,8,2,2,5+,0,1,0,1,2,0,1,1,0,1,0,1,1
3261,M,BLACK,33-37,0,< HS Diploma,1,Violent/Non-Sex,1-2 years,10+,5,0,4,4,5+,0,1,3+,3,0,3+,2+,1,0,1,1
3262,M,WHITE,33-37,0,High School Diploma,0,Violent/Non-Sex,3+ years,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
3263,M,BLACK,33-37,0,< HS Diploma,0,Violent/Non-Sex,1-2 years,7,4,1,4,0,3,0,1,1,1,1,2,0,0,0,1,1
3264,M,WHITE,28-32,0,High School Diploma,3+,Violent/Sex,1-2 years,4,1,0,1,0,3,0,1,1,0,0,0,0,0,0,1,0
3265,M,WHITE,38-42,1,< HS Diploma,0,Violent/Sex,3+ years,8,1,0,4,1,1,0,0,3+,0,0,3+,1,0,0,0,0
3266,F,WHITE,48 or older,0,High School Diploma,1,Unknown,3+ years,10+,6+,1,2,5+,1,1,0,2,1,0,0,2+,0,0,0,0
3267,M,BLACK,33-37,0,High School Diploma,0,Violent/Non-Sex,<1 year,10+,6+,2,5+,5+,5+,0,0,3+,4+,1,2,2+,1,0,0,1
3268,M,BLACK,38-42,1,High School Diploma,3+,Violent/Non-Sex,3+ years,4,3,3+,2,1,1,0,1,0,3,1,1,1,1,0,1,0
3269,M,BLACK,33-37,0,Some College,3+,Drug,3+ years,5,0,0,0,5+,2,0,0,2,1,0,0,2+,0,0,0,0
3270,M,BLACK,38-42,0,High School Diploma,1,Violent/Non-Sex,3+ years,8,3,1,4,1,2,0,0,3+,2,1,3+,1,0,0,0,1
3271,M,WHITE,38-42,0,High School Diploma,3+,Property,3+ years,8,0,1,5+,0,2,0,0,3+,1,0,2,0,1,0,0,0
3272,M,BLACK,48 or older,0,Some College,3+,Violent/Non-Sex,3+ years,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
3273,M,WHITE,38-42,1,High School Diploma,0,Other,1-2 years,6,6+,1,5+,2,3,0,0,3+,4+,0,2,1,0,0,0,1
3274,M,BLACK,38-42,1,< HS Diploma,1,Violent/Non-Sex,3+ years,7,1,2,2,0,0,0,1,3+,1,1,3+,0,0,0,1,0
3275,M,BLACK,33-37,0,High School Diploma,3+,Violent/Non-Sex,3+ years,2,2,3+,0,1,0,1,0,0,3,1,0,1,0,1,0,1
3276,M,BLACK,38-42,0,< HS Diploma,3+,Violent/Non-Sex,3+ years,5,1,3+,1,0,0,0,0,0,1,1,0,0,0,0,0,1
3277,M,BLACK,33-37,0,< HS Diploma,0,Drug,1-2 years,5,4,0,1,4,3,0,0,3+,4+,0,1,2+,1,0,0,1
3278,M,WHITE,38-42,0,High School Diploma,0,Violent/Sex,3+ years,8,2,2,3,0,1,0,0,3+,0,1,1,0,0,0,0,1
3279,M,WHITE,48 or older,0,< HS Diploma,3+,Drug,1-2 years,7,5,1,2,5+,2,0,1,2,2,0,0,2+,1,0,0,0
3280,M,BLACK,43-47,0,High School Diploma,1,Property,<1 year,8,1,1,5+,0,3,0,0,3+,0,1,3+,0,0,0,0,0
3281,M,BLACK,33-37,0,Some College,0,Violent/Non-Sex,3+ years,4,3,0,3,1,4,0,0,1,3,0,2,0,1,0,0,0
3282,M,BLACK,33-37,0,< HS Diploma,3+,Drug,1-2 years,8,6+,0,0,5+,3,0,0,0,4+,0,0,2+,0,0,0,1
3283,M,BLACK,33-37,0,< HS Diploma,0,Unknown,<1 year,10+,1,2,1,5+,4,0,1,3+,2,1,0,2+,0,0,0,1
3284,M,BLACK,38-42,0,High School Diploma,3+,Violent/Non-Sex,1-2 years,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
3285,M,BLACK,43-47,0,Some College,2,Violent/Non-Sex,3+ years,4,6+,3+,3,0,4,0,0,0,4+,1,1,0,1,0,0,1
3286,M,BLACK,43-47,0,< HS Diploma,2,Drug,1-2 years,4,0,1,2,0,1,0,1,0,0,1,0,1,0,0,0,1
3287,M,BLACK,33-37,0,High School Diploma,3+,Other,1-2 years,3,2,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0
3288,M,BLACK,33-37,0,High School Diploma,1,Violent/Non-Sex,3+ years,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
3289,M,BLACK,33-37,0,< HS Diploma,0,Violent/Non-Sex,3+ years,10+,6+,3+,3,2,5+,0,0,3+,4+,1,2,0,1,1,0,1
3290,M,BLACK,38-42,0,< HS Diploma,2,Property,<1 year,7,6+,2,5+,1,5+,1,0,1,3,1,3+,1,1,0,0,1
3291,M,WHITE,38-42,1,High School Diploma,2,Property,<1 year,10+,3,2,5+,1,2,0,1,2,2,0,2,0,0,0,1,1
3292,M,BLACK,48 or older,0,High School Diploma,0,Property,3+ years,10+,1,3+,5+,3,0,0,0,3+,0,1,3+,1,0,0,0,0
3293,M,WHITE,43-47,0,High School Diploma,0,Property,<1 year,10+,6+,3+,3,1,3,1,0,3+,4+,1,2,1,0,1,0,0
3294,M,BLACK,38-42,0,< HS Diploma,3+,Property,1-2 years,9,3,0,4,2,4,0,1,3+,1,0,2,2+,1,0,0,1
3295,M,BLACK,33-37,0,< HS Diploma,3+,Drug,1-2 years,6,0,1,0,3,1,0,0,3+,0,1,0,2+,0,0,0,0
3296,M,WHITE,38-42,0,Some College,3+,Property,1-2 years,10+,4,0,5+,0,5+,0,0,3+,3,0,3+,0,0,0,0,1
3297,M,BLACK,48 or older,0,High School Diploma,2,Drug,3+ years,7,3,1,0,5+,1,0,1,3+,3,0,0,2+,1,0,1,1
3298,M,BLACK,38-42,0,Some College,3+,Violent/Non-Sex,3+ years,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
3299,M,BLACK,38-42,0,High School Diploma,3+,Violent/Non-Sex,3+ years,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
3300,M,WHITE,33-37,0,High School Diploma,2,Unknown,3+ years,6,2,0,2,5+,2,0,1,2,1,0,1,2+,0,0,1,0
3301,M,BLACK,38-42,0,High School Diploma,1,Violent/Sex,1-2 years,5,2,2,0,2,3,0,0,0,1,1,0,2+,0,0,0,0
3302,M,BLACK,33-37,0,High School Diploma,3+,Property,1-2 years,5,1,1,3,1,2,0,0,1,1,0,0,1,1,0,0,1
3303,M,BLACK,33-37,1,< HS Diploma,0,Violent/Non-Sex,1-2 years,5,0,1,2,1,1,0,0,1,0,1,1,0,0,0,0,0
3304,M,BLACK,33-37,0,< HS Diploma,0,Unknown,1-2 years,2,6+,2,0,1,0,1,1,1,4+,1,0,1,0,1,1,0
3305,M,BLACK,33-37,1,< HS Diploma,3+,Violent/Non-Sex,1-2 years,6,4,3+,1,1,2,1,1,2,2,1,0,1,0,0,0,1
3306,M,WHITE,33-37,1,< HS Diploma,1,Other,1-2 years,6,2,2,1,0,3,1,1,1,0,1,0,0,0,0,1,0
3307,M,WHITE,48 or older,0,< HS Diploma,0,Violent/Sex,3+ years,2,4,0,2,0,0,0,0,2,3,0,1,0,0,0,0,0
3308,M,BLACK,33-37,0,< HS Diploma,0,Drug,3+ years,6,1,1,0,5+,2,1,0,3+,0,0,0,2+,1,0,0,0
3309,M,BLACK,48 or older,0,< HS Diploma,1,Property,3+ years,10+,4,0,5+,1,3,0,1,3+,3,0,3+,0,0,0,0,1
3310,M,BLACK,33-37,1,< HS Diploma,3+,Other,1-2 years,10+,6+,3+,0,4,4,1,1,2,4+,1,0,2+,0,0,1,1
3311,M,BLACK,33-37,0,< HS Diploma,3+,Other,3+ years,3,6+,2,1,0,5+,0,0,3+,3,1,0,0,1,0,0,1
3312,M,BLACK,48 or older,0,High School Diploma,1,Property,<1 year,10+,6+,0,5+,3,5+,0,1,3+,4+,0,3+,1,1,0,0,0
3313,M,BLACK,33-37,0,High School Diploma,3+,Violent/Non-Sex,3+ years,5,4,1,3,0,2,0,1,1,1,1,0,0,0,0,1,1
3314,M,BLACK,33-37,0,High School Diploma,1,Property,3+ years,9,2,0,5+,1,5+,0,0,3+,3,0,3+,1,1,0,0,1
3315,M,WHITE,33-37,1,< HS Diploma,1,Property,3+ years,10+,4,0,5+,0,5+,0,1,3+,3,0,3+,0,1,0,1,1
3316,M,WHITE,43-47,0,High School Diploma,1,Drug,<1 year,10+,6+,3+,3,5+,5+,1,1,3+,4+,1,1,2+,1,0,0,0
3317,M,WHITE,33-37,0,Some College,3+,Violent/Non-Sex,3+ years,3,2,1,2,0,3,0,0,1,2,1,1,0,1,0,1,1
3318,M,BLACK,33-37,1,High School Diploma,0,Violent/Non-Sex,1-2 years,2,1,1,1,0,0,0,0,2,0,0,1,0,0,0,0,1
3319,M,BLACK,33-37,1,< HS Diploma,2,Property,3+ years,5,3,1,2,1,3,0,1,1,4+,0,1,0,1,0,0,1
3320,M,WHITE,38-42,0,High School Diploma,0,Drug,1-2 years,10+,6+,0,5+,2,5+,0,1,3+,4+,0,3+,2+,1,0,1,1
3321,F,WHITE,38-42,0,< HS Diploma,3+,Violent/Non-Sex,3+ years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3322,M,BLACK,38-42,0,Some College,2,Drug,<1 year,10+,6+,3+,5+,1,5+,0,0,3+,4+,0,3+,1,1,0,0,1
3323,M,BLACK,33-37,0,< HS Diploma,0,Drug,3+ years,8,6+,1,5+,2,3,0,0,2,4+,0,2,0,1,0,0,0
3324,M,BLACK,33-37,0,High School Diploma,3+,Property,<1 year,10+,3,1,5+,2,1,0,1,3+,3,1,3+,1,0,0,1,1
3325,M,WHITE,33-37,0,High School Diploma,0,Property,3+ years,10+,2,0,5+,0,5+,0,0,1,0,0,3+,0,1,0,0,1
3326,F,WHITE,38-42,0,High School Diploma,3+,Unknown,<1 year,10+,3,0,3,5+,1,0,0,1,1,0,1,2+,0,0,0,1
3327,M,WHITE,33-37,0,< HS Diploma,0,Violent/Non-Sex,3+ years,8,2,1,5+,0,2,1,0,2,1,1,2,0,1,1,0,1
3328,M,BLACK,48 or older,0,High School Diploma,3+,Violent/Non-Sex,3+ years,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3329,M,BLACK,43-47,0,Some College,3+,Drug,3+ years,3,1,0,0,3,0,0,0,3+,1,0,0,2+,0,0,0,0
3330,M,BLACK,38-42,1,Some College,3+,Violent/Non-Sex,1-2 years,10+,6+,3+,4,0,3,0,1,3+,2,1,1,0,0,0,1,1
3331,M,BLACK,38-42,0,< HS Diploma,0,Violent/Non-Sex,1-2 years,3,1,1,2,0,0,0,0,3+,0,1,2,0,0,0,0,1
3332,M,BLACK,33-37,0,< HS Diploma,0,Property,1-2 years,8,0,0,5+,2,0,0,0,0,1,0,2,0,0,0,0,1
